"","key","gene.x","beta.x","lfsr.x","cell.x","region.x","beta.y","s2","stdev","p","gene.y","region.y","cell.y","lfsr.y","bias","match"
"1921","Angular_Gyrus ADARB2 ABCA1","ABCA1",-0.168487406618045,0.0249200667868626,"ADARB2","Angular_Gyrus",0.0558654640670664,1.23159109129828,0.229626287974881,0.828240825181119,"ABCA1","Angular_Gyrus","ADARB2",0.998416629756275,"ns","diff"
"1957","Fusiform_Gyrus L6b ABCA1","ABCA1",-0.145039787600918,0.045702475344479,"L6b","Fusiform_Gyrus",0.309674400666538,1.68569232128139,0.428307185139891,0.582256831680521,"ABCA1","Fusiform_Gyrus","L6b",0.970360599566002,"ns","diff"
"1992","Intraparietal_sulcus Micro ABCA1","ABCA1",-0.234976951444601,0.00665201140468763,"Micro","Intraparietal_sulcus",0.215344103716375,1.02415038424778,0.441864267673319,0.632885885451873,"ABCA1","Intraparietal_sulcus","Micro",0.999462809011871,"ns","diff"
"5608","Retrosplenial_cortex Astro ABHD15-AS1","ABHD15-AS1",0.08927210989143,0.0296364537221127,"Astro","Retrosplenial_cortex",-0.130077520217295,0.901568153095546,0.472455367640071,0.774236698447581,"ABHD15-AS1","Retrosplenial_cortex","Astro",0.99957904195105,"ns","diff"
"8158","Angular_Gyrus L6CT AC002064.1","AC002064.1",-0.228171961867563,0.000942770565225626,"L6CT","Angular_Gyrus",0.270241135077729,0.579313603427949,0.371563653051371,0.34904785133064,"AC002064.1","Angular_Gyrus","L6CT",0.999649455282172,"ns","diff"
"8166","Fusiform_Gyrus Chandelier AC002064.1","AC002064.1",-0.218724457796376,0.0173942173448708,"Chandelier","Fusiform_Gyrus",0.512756840874276,1.15131008417759,0.448504884554028,0.294869301029124,"AC002064.1","Fusiform_Gyrus","Chandelier",0.861064464310867,"ns","diff"
"8171","Fusiform_Gyrus SST AC002064.1","AC002064.1",-0.22727574838669,0.000636672855924392,"SST","Fusiform_Gyrus",0.0724234282004566,0.756151642989198,0.269128563898952,0.759123675848822,"AC002064.1","Fusiform_Gyrus","SST",0.962879466503808,"ns","diff"
"8191","Retrosplenial_cortex PVALB AC002064.1","AC002064.1",-0.226202245247723,0.00099879743714959,"PVALB","Retrosplenial_cortex",0.00475267065089824,0.744052674531158,0.232318876160256,0.981282743611082,"AC002064.1","Retrosplenial_cortex","PVALB",0.999762753220577,"ns","diff"
"9799","Angular_Gyrus Astro AC004540.1","AC004540.1",0.150934105062971,0.0402039629313913,"Astro","Angular_Gyrus",-0.159517723033393,1.04382368865604,0.45815803411563,0.736044875434414,"AC004540.1","Angular_Gyrus","Astro",0.94592773272087,"ns","diff"
"9800","Angular_Gyrus Chandelier AC004540.1","AC004540.1",0.151571958148381,0.0378119767374382,"Chandelier","Angular_Gyrus",-0.135589528533001,1.94750185621112,0.399276292386588,0.809447469472197,"AC004540.1","Angular_Gyrus","Chandelier",0.999142670356819,"ns","diff"
"9806","Angular_Gyrus L6CT AC004540.1","AC004540.1",0.151364834983242,0.0388781272420379,"L6CT","Angular_Gyrus",-0.429593428005133,1.57615810297281,0.215633567038718,0.125948409150315,"AC004540.1","Angular_Gyrus","L6CT",0.999649455282172,"ns","diff"
"9812","Angular_Gyrus PVALB AC004540.1","AC004540.1",0.15138714747916,0.0390239301321656,"PVALB","Angular_Gyrus",-0.224985925254723,2.88979313015083,0.145237812559449,0.370709479986328,"AC004540.1","Angular_Gyrus","PVALB",0.998173445675956,"ns","diff"
"9813","Angular_Gyrus SST AC004540.1","AC004540.1",0.151524760484962,0.0380846450827827,"SST","Angular_Gyrus",-0.0491798484755028,2.32358319908675,0.152050660043541,0.833563015549781,"AC004540.1","Angular_Gyrus","SST",0.998033583783751,"ns","diff"
"9844","Fusiform_Gyrus Oligo AC004540.1","AC004540.1",0.152219171002676,0.0341814429058393,"Oligo","Fusiform_Gyrus",-0.834285142554413,4.33305343676849,0.692123327520029,0.568121369403717,"AC004540.1","Fusiform_Gyrus","Oligo",0.999684573795596,"ns","diff"
"9847","Fusiform_Gyrus PVALB AC004540.1","AC004540.1",0.152170574556912,0.0364027793259106,"PVALB","Fusiform_Gyrus",-0.013674507500598,3.47356147264532,0.130434684319053,0.955539516454074,"AC004540.1","Fusiform_Gyrus","PVALB",0.988765917631352,"ns","diff"
"9851","Inferior_Lateral_TemporalOccipital Astro AC004540.1","AC004540.1",0.149569159888511,0.0403677742543411,"Astro","Inferior_Lateral_TemporalOccipital",-0.375421723983508,1.24828757100316,0.394672588632178,0.402114589388785,"AC004540.1","Inferior_Lateral_TemporalOccipital","Astro",0.793941069963088,"ns","diff"
"9868","Intraparietal_sulcus Astro AC004540.1","AC004540.1",0.150787126910771,0.0401606133447486,"Astro","Intraparietal_sulcus",-0.0673155147807991,0.788651557191516,0.387387585349407,0.846466127867448,"AC004540.1","Intraparietal_sulcus","Astro",0.980103790818684,"ns","diff"
"9870","Intraparietal_sulcus L23IT AC004540.1","AC004540.1",0.151454178567314,0.0394764167448747,"L23IT","Intraparietal_sulcus",-0.0715874781086558,5.28178092368686,0.0924952303822265,0.739019760852818,"AC004540.1","Intraparietal_sulcus","L23IT",0.999631884233898,"ns","diff"
"9872","Intraparietal_sulcus L56NP AC004540.1","AC004540.1",0.15155924144264,0.0381842615768936,"L56NP","Intraparietal_sulcus",-0.0765459130357282,2.31938205552163,0.219267766074258,0.820211233413623,"AC004540.1","Intraparietal_sulcus","L56NP",0.995918997198312,"ns","diff"
